id,name,gender,dob,email,city,address,postcode,phone_number,uni,degree,invited_date,month,invited_by
1,Esme Trusslove,Female,04/08/1994,etrusslove0@google.es,Swindon,22056 Lerdahl Avenue,SN1,+44-295-783-0228,"Saint George's Hospital Medical School, University of London",2:1,10,April 2019,Bruno Bellbrook
2,Matthaeus Audas,Male,,maudas1@mapquest.com,Charlton,263 Nelson Trail,OX12,+44-957-728-0155,Keele University,2:1,30,April 2019,Doris Bellasis
3,Cherey Tollfree,Female,08/12/1992,ctollfree2@netvibes.com,Weston,69 Coleman Court,GU32,+44-588-749-6002,"King's College London, University of London",2:1,25,April 2019,Gismo Tilling
4,Eryn Speers,Female,,espeers3@shinystat.com,Sutton,0166 Daystar Drive,CT15,+44 148 787 0613,University of Edinburgh,2:1,,,
5,Theadora Berkelay,Female,03/11/1995,tberkelay4@godaddy.com,Upton,6 Mandrake Crossing,WF9,+44 (841) 468-3619,University of Leicester,2:1,2,April 2019,Stacey Broad
6,Kassi Pinnock,Female,19/04/1990,kpinnock5@apache.org,Birmingham,27 Monument Terrace,B12,+44 (897) 978-7574,The American University in London,1st,18,April 2019,Gismo Tilling
7,Austina Depper,Female,22/11/1992,adepper6@java.com,Thorpe,379 Mifflin Circle,BD23,+44 918 348 8810,University of Oxford,3rd,2,April 2019,Stacey Broad
8,Rivi Epinay,Female,12/02/1992,repinay7@blogspot.com,Church End,1566 Thierer Point,CB4,+44-674-101-0656,Trinity College Carmarthen,1st,17,April 2019,Fifi Eton
9,Lay Trosdall,Male,05/07/1991,ltrosdall8@imageshack.us,West End,63 Maywood Place,DN36,+44-572-951-7038,,,16,April 2019,Bruno Bellbrook
10,Barbabra Mandal,Female,15/06/1991,bmandal9@craigslist.org,Whitchurch,45 Clemons Court,BS14,+44 (723) 247-1004,,,23,April 2019,Gismo Tilling
11,Verena Sheddan,Female,11/09/1991,vsheddana@bloomberg.com,Kirkton,2345 Eagle Crest Drive,KW10,+44 (231) 486-9365,"United Medical and Dental Schools, University of London",2:1,25,April 2019,Sunny Sladefield
12,Carlen Kemell,Female,30/03/1997,ckemellb@theglobeandmail.com,Glasgow,8 Cherokee Point,G4,,"University of Halifax, Birmingham Campus",2:1,,,
13,Bard Demonge,Male,22/06/1994,bdemongec@reuters.com,,,,+44 549 865 7923,University of Paisley,2:2,4,April 2019,Rupert Ripple
14,Nance Crate,Female,08/05/2000,ncrated@illinois.edu,London,0 Shoshone Crossing,WC1B,+44-847-979-2004,University of Wales College of Medicine,1st,2,April 2019,Stacey Broad
15,Shelia Carlesi,Female,23/02/1990,scarlesie@redcross.org,Craigavon,269 Dorton Drive,BT66,+44-486-843-3503,Liverpool Hope University College,2:1,2,April 2019,Sunny Sladefield
16,Clemente Akitt,Male,11/11/1998,cakittf@yahoo.com,Birmingham,3 Sommers Court,B40,+44-813-957-1832,"Warburg Institute, University of London",1st,2,April 2019,Sunny Sladefield
17,Kimbell Lasseter,Male,26/05/1998,klasseterg@amazon.com,Thorpe,7 Spohn Parkway,BD23,+44-502-937-5738,Stratford College London,2:2,16,April 2019,Gismo Tilling
18,Johanna Inold,Female,10/01/1990,jinoldh@github.com,Sutton,950 Transport Pass,CT15,+44 (220) 318-4847,Bournemouth University,2:2,3,April 2019,Stacey Broad
