id,name,gender,dob,email,city,address,postcode,phone_number,uni,degree,invited_date,month,invited_by
1,Stillmann Castano,Male,25/07/1992,scastano0@geocities.jp,Kingston,02 Wayridge Alley,DT10,+44 (980) 284-7006,Southampton Solent University,2:1,22,AUGUST 2019,Stacey Broad
2,Hilary Willmore,Female,26/08/1995,hwillmore1@jiathis.com,Sutton,06 Anhalt Road,CT15,+44-330-505-2868,University of Lincoln,3rd,01,AUGUST 2019,Bruno Bellbrook
3,Efrem Whipple,Male,05/12/1996,ewhipple2@yellowbook.com,Walton,377 Burrows Junction,CV35,+44 974 758 8243,University of Stirling,2:1,22,AUGUST 2019,Rupert Ripple
4,Sydel Fenne,Female,,sfenne3@techcrunch.com,Newton,582 Crest Line Crossing,IV1,+44 724 129 7676,"Warburg Institute, University of London",3rd,28,AUGUST 2019,Fifi Etton
5,Fonz Aveline,Male,07/01/1990,faveline4@netscape.com,Seaton,32 Oakridge Hill,LE15,+44-566-207-8422,International Centre for Isclamic Science,2:1,28,AUGUST 2019,Sunny Sladefield
6,Gus Trenouth,Female,15/12/2000,gtrenouth5@ameblo.jp,Charlton,3 Bay Hill,OX12,+44 (506) 700-0867,University of Bedfordshire,3rd,06,AUGUST 2019,Sunny Sladefield
7,Hugibert McLardie,Male,28/04/1990,hmclardie6@pen.io,Hatton,37721 Claremont Center,CV35,+44-131-934-4283,University of Bolton,2:1,06,AUGUST 2019,Sunny Sladefield
8,Michel Lebarree,,02/11/1994,mlebarree7@un.org,Walton,3665 Village Green Street,CV35,+44 (728) 131-4240,Loughborough University,2:2,07,AUGUST 2019,Stacey Broad
9,Cooper Ingraham,Male,23/01/1991,cingraham8@bigcartel.com,Upton,4 Sherman Hill,DN21,+44 (738) 347-1053,University of Leicester,2:1,14,AUGUST 2019,Fifi Eton
10,BIRD LE COUNT,Female,10/03/1991,ble9@github.com,Swindon,452 Monument Center,SN1,+44 (968) 915-9154,"Queen Mary and Westfield College, University of London",2:2,22,AUGUST 2019,Sunny Sladefield
11,Orly Lorens,Female,,olorensa@baidu.com,Walton,34 Lake View Place,CV35,+44-466-210-7370,Canterbury Christ Church University,2:1,01,AUGUST 2019,Bruno Bellbrook
