id,name,gender,dob,email,city,address,postcode,phone_number,uni,degree,invited_date,month,invited_by
1,Dill Benedtti,Male,18/11/1995,dbenedtti0@sciencedirect.com,Marston,86 Coleman Street,ST20,+44-121-275-8988,Canterbury Christ Church University,2:1,,,
2,Guss Tacon,,09/01/1999,gtacon1@blogger.com,Linton,554 Harbort Hill,BD23,+44 (589) 867-9900,"University of the West of England, Bristol",2:1,25,JULY 2019,Fifi Eton
3,Berty Huban,Male,21/01/1997,bhuban2@biblegateway.com,Weston,9 Loeprich Center,GU32,+44 (389) 867-4563,London School of Business & Finance,2:1,18,JULY 2019,Doris Bellasis
4,Matthieu Dulake,Male,29/11/1994,mdulake3@europa.eu,Wirral,170 Sachtjen Point,CH48,+44 (219) 791-5080,University of Wolverhampton,2:2,31,JULY 2019,Fifi Etton
5,Darwin Sambiedge,Male,03/07/1996,dsambiedge4@mozilla.org,Middleton,6 Westridge Plaza,LE16,+44 (946) 681-1350,London Metropolitan University,2:2,10,JULY 2019,Sunny Sladefield
6,Sim Bacchus,Male,18/02/1998,sbacchus5@rediff.com,London,66257 Golf Plaza,EC1V,+44 741 384 4056,University of Chester,2:2,23,JULY 2019,Doris Bellasis
7,Anabal Teese,Female,25/08/1996,ateese6@etsy.com,London,75 Pleasure Drive,WC1B,+44 (514) 346-0794,The Robert Gordon University,2:2,09,JULY 2019,Fifi Etton
8,Sybila Bragge,Female,07/08/2000,sbragge7@marriott.com,London,199 Basil Lane,WC1B,+44 906 813 9794,University of Sheffield,2:1,23,JULY 2019,Doris Bellasis
9,Donalt Gummoe,Male,25/02/1992,dgummoe8@51.la,Merton,4 Charing Cross Terrace,SW19,+44 (964) 612-7110,University of Essex,2:1,16,JULY 2019,Sunny Sladefield
10,Devon McCracken,Female,28/09/1991,dmccracken9@mac.com,Weston,0635 Dahle Crossing,GU32,+44 (714) 182-9706,The Manchester Metropolitan University,2:1,04,JULY 2019,Gismo Tilling
11,Christian Clowley,Female,14/08/1999,cclowleya@imageshack.us,Leeds,5266 Mesta Road,LS6,,Keele University,2:1,02,JULY 2019,Doris Bellasis
12,Romola Coldtart,Female,08/10/1990,rcoldtartb@umn.edu,Stapleford,8763 Pepper Wood Junction,LN6,+44-297-985-0447,"Warburg Institute, University of London",1st,17,JULY 2019,Rupert Ripple
13,Shea Chasmoor,Female,09/07/1999,schasmoorc@angelfire.com,Halton,1 Meadow Ridge Trail,LS9,+44 (679) 455-7572,Oxford Brookes University,2:2,17,JULY 2019,Rupert Ripple
14,Nora Akers,Female,09/09/1993,nakersd@nih.gov,Sheffield,708 Jackson Avenue,S33,+44 (277) 830-5133,University of Hertfordshire,2:2,24,JULY 2019,Stacey Broad
15,Sander Rewbottom,Male,29/12/1995,srewbottome@cbsnews.com,Edinburgh,8327 Mesta Point,EH9,+44 853 482 4068,University of Greenwich,1st,25,JULY 2019,Doris Bellasis
16,Francklyn Leyninye,Male,15/09/1994,fleyninyef@smh.com.au,Tullich,75783 Maywood Crossing,AB55,+44 (542) 365-2638,University of Kent at Canterbury,1st,24,JULY 2019,Doris Bellasis
17,Julissa Dumbleton,Female,18/02/1996,jdumbletong@netlog.com,Norton,9 Onsgard Lane,NN11,+44 (929) 957-2641,London Institute of Management and Technology,2:2,24,JULY 2019,Rupert Ripple
18,Zacharias Restorick,Male,07/08/2000,zrestorickh@tinypic.com,Newbiggin,341 Golf View Court,NE46,+44-242-433-2790,"King's College London, University of London",2:1,11,JULY 2019,Sunny Sladefield
19,Andriana Uc,Female,,auci@ocn.ne.jp,Weston,2914 Ramsey Hill,GU32,+44-732-931-0071,"Heythrop College, University of London",3rd,02,JULY 2019,Doris Bellasis
20,Franchot Pettko,Male,05/03/1995,fpettkoj@trellian.com,Eaton,753 Everett Drive,DN22,+44-701-363-3463,"Royal Academy of Music, University of London",2:2,,,
21,Grayce Aim,Female,06/10/1999,gaimk@about.com,Bristol,6216 Anthes Junction,BS41,+44 487 267 6450,"Institute of Germanic Studies, University of London",3rd,10,JULY 2019,Bruno Belbrook
22,Benita Enefer,Female,18/09/1998,beneferl@mac.com,Preston,66 Hanson Way,PR1,+44-534-200-7996,Coventry University,2:1,11,JULY 2019,Sunny Sladefield
23,Isacco Teese,Male,25/06/1997,iteesem@angelfire.com,London,8684 Sloan Road,EC1V,+44 (348) 637-3899,University of Lancaster,2:1,02,JULY 2019,Sunny Sladefield
24,Dulcia Burl,Female,12/02/1993,dburln@howstuffworks.com,Buckland,4071 Acker Crossing,CT16,+44 (270) 702-0729,Imperial College London,2:1,,,
25,Farlee Baalham,Male,07/01/1998,fbaalhamo@businessinsider.com,London,42555 Sherman Avenue,WC1B,,University of North London,2:1,16,JULY 2019,Rupert Ripple
26,Sara Bear,Female,16/10/1992,sbearp@github.com,Sheffield,35 Raven Point,S1,,Anglia Ruskin University,2:1,,,
27,Zsa zsa Rounsefull,Female,07/12/1994,zzsaq@wikimedia.org,Dean,85 Lotheville Park,OX7,+44-323-293-9415,,,16,JULY 2019,Doris Bellasis
28,Amanda Minto,,05/01/1995,,Eaton,3270 Blaine Point,DN22,+44 (893) 195-9645,Roehampton University of Surrey,1st,18,JULY 2019,Gismo Tilling
29,Harland Oliveto,Male,05/02/1998,holivetos@ca.gov,Whitwell,83 Loftsgordon Lane,DL10,+44 165 322 6436,"London School of Hygiene & Tropical Medicine, University of London",2:1,,,
30,Annie Ibbotson,Female,29/12/1996,,Newton,7207 Ludington Pass,IV1,,Southampton Solent University,2:1,25,JULY 2019,Sunny Sladefield
31,Roana Sanger,Female,17/03/1997,rsangeru@bravesites.com,Marston,7 Northwestern Terrace,ST20,,Canterbury Christ Church University,3rd,11,JULY 2019,Doris Bellasis
32,Elise Soppeth,Female,21/03/1992,esoppethv@bizjournals.com,Charlton,01958 Mesta Avenue,OX12,+44-562-255-5145,"University of Wales, Lampeter",2:2,24,JULY 2019,Doris Bellasis
33,Betty Lamlin,Female,10/11/1994,blamlinw@yellowbook.com,London,41 Buell Park,EC3M,+44 983 281 9224,Roehampton University of Surrey,2:1,10,JULY 2019,Gismo Tilling
34,Verena Townes,Female,03/10/1999,vtownesx@nbcnews.com,London,13 Dahle Trail,EC3M,+44 (962) 336-9947,Birmingham City University,2:2,16,JULY 2019,Fifi Etton
35,Constance Fellibrand,Female,02/07/1999,cfellibrandy@cornell.edu,London,90433 Carey Way,EC1V,+44 447 725 6862,University of Huddersfield,2:2,09,JULY 2019,Stacey Broad
36,Joannes Yurshev,Female,16/07/1994,jyurshevz@umn.edu,Newport,62 Bunting Plaza,NR29,+44-204-608-0156,William Gilbert College,2:1,18,JULY 2019,Sunny Sladefield
37,Brunhilde Zellick,Female,18/12/1993,bzellick10@dyndns.org,Liverpool,162 Summer Ridge Plaza,L33,+44 653 944 3917,"Heythrop College, University of London",1st,03,JULY 2019,Stacey Broad
38,Shurlock Dutch,Male,04/01/1991,sdutch11@sciencedaily.com,Newton,23894 Milwaukee Parkway,IV1,+44 (304) 949-5268,University of Leicester,2:2,31,JULY 2019,Rupert Ripple
39,Georgena Tchaikovsky,Female,30/05/1990,gtchaikovsky12@usa.gov,Horton,60443 Ronald Regan Parkway,BS37,+44-900-138-2390,London Business School,2:1,30,JULY 2019,Stacey Broad
40,Mathilde Keppin,Female,10/08/1991,mkeppin13@senate.gov,Whitchurch,644 Fordem Way,BS14,+44 (229) 151-5288,University of Reading,1st,02,JULY 2019,Sunny Sladefield
41,Aili Bursnoll,Female,15/10/1991,abursnoll14@pcworld.com,Pentre,805 Utah Way,SY4,+44-213-145-0941,University of York,3rd,30,JULY 2019,Rupert Ripple
42,Domini Norvel,,,dnorvel15@ed.gov,Milton,2 Fallview Point,AB56,+44 (241) 213-2719,"London School of Hygiene & Tropical Medicine, University of London",2:1,25,JULY 2019,Rupert Ripple
43,Kerr Allanson,Male,17/04/1994,kallanson16@usgs.gov,Weston,22 Helena Center,GU32,+44-207-375-2713,,,24,JULY 2019,Doris Bellasis
44,Nola Achrameev,Female,22/09/1994,nachrameev17@ow.ly,Weston,701 Duke Junction,GU32,+44 (633) 399-0900,University of Strathclyde,3rd,,,
45,Valaria Bunton,Female,22/04/1993,,Norton,20230 Heath Trail,NN11,+44 735 285 4417,Stratford College London,2:2,18,JULY 2019,Gismo Tilling
