id,name,gender,dob,email,city,address,postcode,phone_number,uni,degree,invited_date,month,invited_by
1,Dukie Labrenz,Male,26/07/1999,dlabrenz0@google.co.uk,Newbiggin,64 Mcguire Terrace,NE46,+44 208 744 3006,London Metropolitan University,1st,,,
2,Dulcine Duffil,Female,20/09/1995,dduffil1@exblog.jp,Walton,75 Steensland Avenue,CV35,+44-774-884-9719,Buckinghamshire New University,2:2,04,SEPT 2019,Gismo Tilling
3,Paulita Simmonds,Female,27/11/1995,psimmonds2@wordpress.com,Norton,0333 Kinsman Pass,NN11,+44-805-854-0606,University of Teesside,3rd,18,SEPT 2019,Gismo Tilling
4,Sunshine Backshall,Female,29/11/1991,sbackshall3@un.org,Church End,67566 Mifflin Pass,CB4,+44-650-735-5309,"Royal College of Music, University of London",2:2,24,SEPT 2019,Fifi Etton
5,Faydra Bailiss,Female,24/01/1992,fbailiss4@zimbio.com,Sutton,7 Sunbrook Court,CT15,+44-123-798-4598,University of Buckingham,2:1,,,
6,Manon Clutterham,Female,,mclutterham5@symantec.com,Merton,047 Moulton Point,SW19,+44-308-710-8043,University of Buckingham,2:2,11,SEPT 2019,Sunny Sladefield
7,Baird Reynoollds,Male,15/01/1997,breynoollds6@sakura.ne.jp,Pentre,91 Oxford Drive,SY4,+44 (540) 403-3129,Swansea Metropolitan University,3rd,12,SEPT 2019,Gismo Tilling
8,Dorri McMillian,Female,02/08/1996,dmcmillian7@google.com.hk,London,887 Tennyson Hill,SW1E,+44 (817) 900-7615,University of Lancaster,2:2,19,SEPT 2019,Doris Bellasis
9,Conrad Ceillier,Male,24/04/1995,cceillier8@people.com.cn,Eaton,44503 La Follette Drive,DN22,+44-379-515-8294,University of Wales College of Medicine,2:1,17,SEPT 2019,Sunny Sladefield
10,Gifford Ganter,Male,25/07/1992,gganter9@digg.com,Newbiggin,3404 Anzinger Alley,NE46,+44 (789) 775-9588,"University of the West of England, Bristol",2:1,18,SEPT 2019,Rupert Ripple
11,Harry Frensch,Male,02/04/1998,hfrenscha@blogtalkradio.com,Ford,639 Morningstar Court,GL54,+44 252 676 2916,University of St. Andrews,3rd,,,
12,Rickie Burkert,Female,18/08/2000,rburkertb@a8.net,,,,+44 768 196 5128,The Manchester Metropolitan University,2:1,25,SEPT 2019,Stacey Broad
13,Shaw Tapply,Male,04/05/1990,stapplyc@cdbaby.com,Linton,931 Pepper Wood Center,BD23,+44-480-286-3297,University of Kent at Canterbury,2:2,,,
14,Eli Burnsides,Male,06/08/1997,,Liverpool,661 Algoma Road,L33,+44 419 711 2097,Imperial College London,2:1,26,SEPT 2019,Bruno Bellbrook
15,Demott Rohlf,Male,03/01/1995,drohlfe@nytimes.com,Sutton,328 Coleman Center,RH5,+44-164-273-0486,University of Dundee,2:2,18,SEPT 2019,Doris Bellasis
16,Ramon Hinchcliffe,Male,24/12/1992,rhinchcliffef@disqus.com,Burnside,1 Nancy Avenue,EH52,+44 473 645 6508,University of Hertfordshire,2:1,11,SEPT 2019,Fifi Etton
17,Vivian Syson,Female,11/02/1999,vsysong@mediafire.com,Birmingham,9 Alpine Way,B12,+44-486-855-6918,University of East London,3rd,04,SEPT 2019,Rupert Ripple
18,Linoel Adamsen,Male,28/07/1994,ladamsenh@imgur.com,Newton,70 Susan Way,IV1,+44-425-955-6410,"King's College London, University of London",2:1,,,
19,Parry Oswick,Male,07/01/1998,poswicki@wufoo.com,Upton,13346 Esker Lane,DN21,+44 719 287 9054,University of Liverpool,2:1,17,SEPT 2019,Gismo Tilling
20,Herta Stainer,Female,05/11/1994,hstainerj@addtoany.com,Aberdeen,274 Darwin Street,AB39,+44-543-297-2724,Royal Holloway and Bedford New College,3rd,04,SEPT 2019,Stacey Broad
21,Lanny Hartly,Male,23/08/1991,lhartlyk@comsenz.com,Buckland,9004 Dovetail Plaza,CT16,+44 194 697 5494,University of Glasgow,2:2,,,
22,Alejandro Broggetti,Male,10/05/1994,abroggettil@ox.ac.uk,Sheffield,89 Hooker Hill,S33,+44 (135) 997-2761,Roehampton University of Surrey,3rd,03,SEPT 2019,Doris Bellasis
23,Anjela Hultberg,Female,07/08/1990,ahultbergm@yelp.com,Stapleford,17545 Hanson Park,LN6,+44 (459) 446-0130,Buckinghamshire New University,1st,,,
24,Jenine Ivashkov,Female,29/05/1999,jivashkovn@admin.ch,Craigavon,58896 Golf Park,BT66,+44 (434) 310-8152,"Institute of Latin American Studies, University of London",2:1,11,SEPT 2019,Stacey Broad
25,Weylin Chong,Male,07/06/1995,wchongo@tripadvisor.com,West End,6801 Annamark Park,DN36,+44 778 627 9658,William Gilbert College,1st,18,SEPT 2019,Doris Bellasis
26,Duffie Hanscombe,Male,31/08/1990,dhanscombep@ycombinator.com,Milton,96808 Manufacturers Trail,NG22,+44 (427) 399-1700,"London School of Hygiene & Tropical Medicine, University of London",2:1,17,SEPT 2019,Bruno Bellbrook
