Tuesday 2 July 2019
London Academy

CHRISTIAN CLOWLEY -  Psychometrics: 46/100, Presentation: 21/32
ANDRIANA UC -  Psychometrics: 55/100, Presentation: 21/32
ISACCO TEESE -  Psychometrics: 53/100, Presentation: 17/32
MATHILDE KEPPIN -  Psychometrics: 54/100, Presentation: 19/32
KITTY ALLEN -  Psychometrics: 55/100, Presentation: 17/32
ALBINA ALVES -  Psychometrics: 54/100, Presentation: 18/32
SHANIE DENISO -  Psychometrics: 58/100, Presentation: 14/32
CHEVY PYBURN -  Psychometrics: 50/100, Presentation: 20/32
LARISA WARRINGTON -  Psychometrics: 55/100, Presentation: 23/32
DEMETRIUS DUNBAVIN -  Psychometrics: 53/100, Presentation: 19/32
ARTY INDRUCH -  Psychometrics: 56/100, Presentation: 24/32
DARCY DOWBAKIN -  Psychometrics: 48/100, Presentation: 16/32
EBA GARY -  Psychometrics: 58/100, Presentation: 19/32
D'ARCY BOVER -  Psychometrics: 56/100, Presentation: 27/32
ABRAHAM ROCKELL -  Psychometrics: 60/100, Presentation: 18/32
CHEV SPILLANE -  Psychometrics: 53/100, Presentation: 23/32
BEAUREGARD CORNEHL -  Psychometrics: 56/100, Presentation: 24/32
DUKY SHAILER -  Psychometrics: 51/100, Presentation: 22/32
WAVERLEY DEACOCK -  Psychometrics: 60/100, Presentation: 20/32
SORCHA ARGUE -  Psychometrics: 52/100, Presentation: 15/32
FRANKIE BOSELEY -  Psychometrics: 51/100, Presentation: 19/32
MARLOW TURBITT -  Psychometrics: 43/100, Presentation: 21/32
MATT ROOCROFT -  Psychometrics: 42/100, Presentation: 23/32
HONOR HUNTALL -  Psychometrics: 56/100, Presentation: 23/32
YANKEE NORTHING -  Psychometrics: 54/100, Presentation: 22/32
GERMAINE KITCHENSIDE -  Psychometrics: 49/100, Presentation: 29/32
BERTI NAYER -  Psychometrics: 51/100, Presentation: 26/32
GILBERTINE OLIVETTI -  Psychometrics: 41/100, Presentation: 23/32
DRUSY BENNY -  Psychometrics: 55/100, Presentation: 24/32
ARA LOGGIE -  Psychometrics: 64/100, Presentation: 15/32
KETTI MURRIGANS -  Psychometrics: 42/100, Presentation: 19/32
SHERLOCKE BASELIO -  Psychometrics: 66/100, Presentation: 19/32
AMALEA UGHI -  Psychometrics: 53/100, Presentation: 18/32
JULIA TAILE -  Psychometrics: 52/100, Presentation: 16/32
ARDIS STANILAND -  Psychometrics: 53/100, Presentation: 16/32
CLAUDE DURAN -  Psychometrics: 55/100, Presentation: 20/32
ANDREE ROMEO -  Psychometrics: 52/100, Presentation: 25/32
ENNIS BREINL -  Psychometrics: 46/100, Presentation: 20/32
TONNIE BRIGSHAW -  Psychometrics: 46/100, Presentation: 22/32
