name,date,academy,presentation,pyschometrics
HILARY WILLMORE,2019-08-01,Birmingham,19,51
ORLY LORENS,2019-08-01,Birmingham,19,51
ALVIE BLEACKLY,2019-08-01,Birmingham,16,55
DECK ITZCHAKI,2019-08-01,Birmingham,21,59
WILT PENRITT,2019-08-01,Birmingham,25,66
GIANNA CLEVELY,2019-08-01,Birmingham,16,61
YVOR PHALIP,2019-08-01,Birmingham,18,59
MARIELLE KNIVETT,2019-08-01,Birmingham,18,52
FLORRI LOUGHTON,2019-08-01,Birmingham,28,63
WALDEN GIDDEN,2019-08-01,Birmingham,25,49
INGUNNA ADIN,2019-08-01,Birmingham,20,60
JANAYA MAWFORD,2019-08-01,Birmingham,18,52
CORNALL OFFER,2019-08-01,Birmingham,26,56
BRNABY BOWNES,2019-08-01,Birmingham,26,59
SHERLINE CUDIHY,2019-08-01,Birmingham,16,52
ANALLISE SCATHARD,2019-08-01,Birmingham,13,62
BENSON LABUSCHAGNE,2019-08-01,Birmingham,13,64
NORENE FIERRO,2019-08-01,Birmingham,22,58
WOODY NEWLING,2019-08-01,Birmingham,21,49
ANNA BOWNES,2019-08-01,Birmingham,20,45
LORINE BIGNALL,2019-08-01,Birmingham,17,59
DEIRDRE VAN DEN VELDE,2019-08-01,Birmingham,19,55
RUTHE ADOLTHINE,2019-08-01,Birmingham,17,63
STAR JURGES,2019-08-01,Birmingham,22,54
STAN FORKAN,2019-08-01,Birmingham,20,56
JODIE KAYGILL,2019-08-01,Birmingham,17,53
TIM HUSH,2019-08-01,Birmingham,22,40
DELINDA CONYBEAR,2019-08-01,Birmingham,18,54
REAGEN PUDGE,2019-08-01,Birmingham,14,60
MATTEO YEOWELL,2019-08-01,Birmingham,18,57
MAYE TARGETTER,2019-08-01,Birmingham,19,45
CARLOS GERCKENS,2019-08-01,Birmingham,19,56
NEVIL VIDYAPIN,2019-08-01,Birmingham,22,44
BLAKE NUNSON,2019-08-01,Birmingham,18,64
ROSS BEEVORS,2019-08-01,Birmingham,25,48
SID LIBBIE,2019-08-01,Birmingham,28,59
LOREE HINKENS,2019-05-01,London,16,54
MICHEIL ROTLAUF,2019-05-01,London,15,66
BERKELEY BOTHE,2019-05-01,London,25,43
KLARIKA MCCONIGAL,2019-05-01,London,22,48
RETHA DUNNICO,2019-05-01,London,20,60
NANCE TOTHE,2019-05-01,London,15,51
DONICA ANDREAS,2019-05-01,London,18,59
STAVROS PETTICROW,2019-05-01,London,12,52
JANET MULQUEENY,2019-05-01,London,19,42
CASSIUS HOLLIBONE,2019-05-01,London,18,69
MELLICENT DESAUR,2019-05-01,London,18,67
KAMILA SILVERSMIDT,2019-05-01,London,16,53
BERNADINE SINKIN,2019-05-01,London,17,60
WILLIAM DRYDEN,2019-05-01,London,23,63
MATTHIAS BURNS,2019-05-01,London,22,53
MAXWELL WYER,2019-05-01,London,21,50
MIGUELA QUANTRILL,2019-05-01,London,21,60
JULIET SCOTTRELL,2019-05-01,London,16,55
GANNIE BAREHEAD,2019-05-01,London,19,46
SIOUXIE TUNSTALL,2019-05-01,London,23,57
KEENAN STUBBES,2019-05-01,London,21,50
VERNEY SKEHAN,2019-05-01,London,15,58
BERNICE NIBLETT,2019-05-01,London,16,52
SUSIE CICCOLOI,2019-05-01,London,21,65
CORNEY KOLINSKY,2019-05-01,London,23,50
BENSON SYNCKE,2019-05-01,London,18,57
HALSEY BROADER,2019-05-01,London,26,67
KONSTANTINE GIACOMONI,2019-10-01,London,24,48
CARMELLE JADO,2019-10-01,London,22,54
EWARD STANYARD,2019-10-01,London,20,48
EDGARDO LIDYARD,2019-10-01,London,24,49
CLAUDIA MAY,2019-10-01,London,18,53
GINEVRA KOPS,2019-10-01,London,21,52
LAMBERT FORTNON,2019-10-01,London,22,57
FAR LUBECK,2019-10-01,London,18,52
JOANN ASPINWALL,2019-10-01,London,15,59
SALLYANN JACOBI,2019-10-01,London,15,60
AGUSTIN BOOG,2019-10-01,London,21,55
FIANN PARMETER,2019-10-01,London,23,52
LINETTE GILHOOLIE,2019-10-01,London,19,55
PEARLA DURTNELL,2019-10-01,London,21,55
CANDIE SENNER,2019-10-01,London,24,59
MYCHAL BACHELAR,2019-10-01,London,24,47
ESME TRUSSLOVE,2019-04-10,London,23,39
TILER ANDREJEVIC,2019-04-10,London,21,55
ESTER FOLDES,2019-04-10,London,23,48
MILE O'BRIEN,2019-04-10,London,24,50
SHEEREE COLLOP,2019-04-10,London,19,66
LIBBIE PLUCK,2019-04-10,London,19,51
GUSTY BEEVENS,2019-04-10,London,22,42
LON GILLIMGHAM,2019-04-10,London,18,56
HOGAN BUSHNELL,2019-04-10,London,22,65
TIFFANY GRONALLER,2019-04-10,London,24,54
CHILTON NIECE,2019-04-10,London,22,62
EDA BANNER,2019-04-10,London,20,72
DONALT SAVARY,2019-04-10,London,18,48
ORALLE KOSE,2019-04-10,London,22,50
VERNOR FARRANCE,2019-04-10,London,22,55
SALVIDOR CULLY,2019-04-10,London,18,53
NINETTE BORREL,2019-04-10,London,11,49
TODD KOHNERT,2019-04-10,London,24,58
GUNTER MARZELLANO,2019-04-10,London,23,63
ENRIQUE GARSIDE,2019-04-10,London,19,57
HILDA WINKETT,2019-04-10,London,25,69
GILES DE ANGELIS,2019-04-10,London,23,52
KALA FRANZINI,2019-04-10,London,26,48
DAVEY MCDOWELL,2019-04-10,London,24,52
